"seller_id","warehouse_id","myntra_sku_code","seller_sku_code","style_id","sku_id","brand","order_created_date","inscanned_on","fmpu_date","order_delivered_date","return_created_date","refunded_date","order_rto_date","is_refunded","exchange_id","order_id","order_group_id","order_line_id","seller_order_id","status","store_packet_id","seller_packet_id_fk","quantity","return_id","return_mode","return_reason","return_status","forward_tracking_number","return_tracking_number","master_bag_id","lmdo_last_modified_on","gatepass_id","gatepass_status","gatepass_type","gatepass_lastmodified"
"18724","24275","DSBYSHRT78157506","DB-SCHSHIRT-01A-LLNAVY","24362770","78157506","DressBerry","2025-06-17",,,,"1970-01-01",,"2025-06-18",,,"8529431053","5513251264","10529357495","0579ff6d-06fa-4637-a619-c8fb63fdb084","RTO","8529431053",,"1",,,,,,,,,,,,
"18724","24275","SNGRKRTA65458710","UTMSK 44 - XXLXXL","20885542","65458710","Sangria","2025-05-26",,,"2025-06-01","2025-06-01","2025-06-02",,"1",,"8478209181","5487066058","10478181244","eccde1e5-5d0a-49d5-953d-60c6e8578956","Return","8478209181",,"1","100046868151","OPEN_BOX_PICKUP","Size too big","DLS",,"MYSR1131537124",,"2025-06-23 16:43:18.000",,,,
"18724","24275","ANUKSHRT100014869","ICH-SHIRT-BROWN-40","31059908","100014869","Anouk Rustic","2025-06-19",,,"2025-06-24","2025-06-27","2025-06-27",,"1","8540571082","8532175901","5514956702","10532102342","aa4124ce-86cc-40c8-bbc3-093139322d6c","Return","8532175901",,"1","100056480440","OPEN_BOX_PICKUP","Size is too Large","DLS",,"MYSR1137392768",,"2025-07-11 16:53:50.000",,,,
"18724","24275","HSPDKASS105709454","HOP-3KS-GOLDSTRIPE-XXL","32796621","105709454","House of Pataudi","2025-06-20",,,"2025-06-25","2025-06-25","2025-06-26",,"1",,"8533766285","5515935211","10533692718","dbb4b228-4edd-4a25-b6ea-30a3f22ff332","Return","8533766285",,"1","100056135779","OPEN_BOX_PICKUP","Received a poor quality product","DLS",,"MYSR1137180800",,"2025-07-10 16:17:01.000",,,,
"18724","24275","DSBYSHRT99578325","STRIPER-SHIRT-BLUE-XS","30930188","99578325","DressBerry","2025-06-14",,,"2025-06-16","2025-06-16","2025-06-17",,"1",,"8526276720","5511293988","10526203188","b25016bf-a76f-49d1-97fc-e926f7d255c0","Return","8526276720",,"1","100053457804","OPEN_BOX_PICKUP","I did not like the fit","DLS",,"MYSR1135574865",,"2025-06-26 16:05:00.000",,,,
"18724","24275","SNGRKRTA109689081","DM-FLORAL-24279-WHITE-S","33961602","109689081","Sangria","2025-06-07",,,"2025-06-13","2025-06-16","2025-06-18",,"1",,"8511959680","5503623909","10511918066","d51a2469-5acb-4109-a480-a88b4f93b129","Return","8511959680",,"1","100053419186","OPEN_BOX_PICKUP","Received a completely different product","DLS",,"MYSR1135551304",,"2025-06-26 16:05:00.000",,,,
"18724","24275","SNGRKRTA65458710","UTMSK 44 - XXLXXL","20885542","65458710","Sangria","2025-05-31",,,"2025-06-05","2025-06-06","2025-06-06",,"1",,"8493784907","5494281596","10493756811","a3151d68-5dba-4e2c-be1f-02404b242705","Return","8493784907",,"1","100048792650","OPEN_BOX_PICKUP","Size too big","DLS",,"MYSR1132746104",,"2025-06-18 17:57:20.000",,,,
"18724","24275","SNGRKASS102144536","BF-6-ZUBA-OFFWHITE-XL","31699829","102144536","Sangria","2025-06-01",,,,"1970-01-01",,"2025-06-05",,,"8496719601","5495598656","10496691462","bea6fdd5-0fd0-45b9-b3e8-3db338e1b711","RTO","9718928451",,"1",,,,,,,,,,,,
"18724","24275","SNGRTRSR67110126","UTM 4019 - LL","21345872","67110126","Sangria","2025-06-11",,,,"1970-01-01",,"2025-06-13",,,"8519877213","5507821924","10519817249","a554b207-1b06-4d9a-9b93-995ade2a1089","RTO","8519877213",,"1",,,,,,,,,,,,
"18724","24275","SNGRKRTA94499210","SNGRKRTA94499210","29410854","94499210","Sangria","2025-06-17",,,"2025-06-18","2025-06-18","2025-06-19",,"1",,"8529333313","5513191005","10529259755","73a98f2c-d897-4571-bd3f-074505648df2","Return","8529333313",,"1","100054216348","OPEN_BOX_PICKUP","Received a poor quality product","DLS",,"MYSR1136025020",,"2025-06-25 15:56:48.000",,,,
"18724","24275","SNGRKRTA64711684","UTM-2101-MM","20667724","64711684","Sangria","2025-05-31",,,"2025-06-03","2025-06-03","2025-06-04",,"1",,"8493722123","5494255786","10493694027","d82b18b0-ecf8-48fb-b76b-0f5a6d6670f6","Return","8493722123",,"1","100047784267","OPEN_BOX_PICKUP","Received a completely different product","DLS",,"MYSR1132102187",,"2025-06-18 17:57:20.000",,,,
"18724","24275","SNGRKRTA82475774","NEW-FLORALBUTTY-XXL","25561800","82475774","Sangria","2025-05-29",,,"2025-06-02","2025-06-03","2025-06-03",,"1",,"8484185690","5490370827","10484157739","04f7af86-a3b2-4ead-8d0d-1c5bcec9b4ab","Return","8484185690",,"1","100047476508","OPEN_BOX_PICKUP","I did not like the fit","DLS",,"MYER1035126998",,"2025-07-01 16:55:23.000",,,,
"18724","24275","SNGRKRTA64711672","UTM-2081-LL","20667722","64711672","Sangria","2025-05-31",,,"2025-06-05","2025-06-08","2025-06-08",,"1","8508686120","8492085536","5493515825","10492057438","a90eb760-3b39-4e2a-bf77-5833b36ec693","Return","8492085536",,"1","100049781823","OPEN_BOX_PICKUP","Size is too Small","DLS",,"MYSR1133351516",,"2025-06-24 16:31:49.000",,,,
"18724","24275","SNGRKASS96632642","SET-IKKAT-PURPLE-L","30036241","96632642","Sangria","2025-06-19",,,"2025-06-23","2025-06-26","2025-06-27",,"1",,"8531572274","5514581564","10531498714","d57bd4dd-6817-49f3-961e-003405a5d1e8","Return","8531572274",,"1","100056413392","OPEN_BOX_PICKUP","I do not need it anymore","DLS",,"MYER1038206156",,"2025-07-11 19:15:00.000",,,,
"18724","24275","SNGRKRTA89054236","SOCH-02-LIME-M","27653046","89054236","Sangria","2025-06-09",,,"2025-06-12","2025-06-12","2025-06-13",,"1",,"8516489172","5505966713","10516437618","118e5727-622e-4504-81fb-6281fb65bd8d","Return","8516489172",,"1","100051735235","OPEN_BOX_PICKUP","I did not like the fit","DLS",,"MYER1036563716",,"2025-06-25 15:57:28.000",,,,
"18724","24275","HSPDKASS87211140","SETHOP-OS-1-44","27060886","87211140","House of Pataudi","2025-06-01",,,"2025-06-14","2025-06-17","2025-06-17",,"1","8528661365","8496732381","5495604584","10496704242","f02459a5-d338-482f-8677-a713a2d82474","Return","8496732381",,"1","100053633840","OPEN_BOX_PICKUP","Size is too Small","DLS",,"MYSR1135684612",,"2025-07-08 12:20:45.000",,,,
"18724","24275","SNGRKRTA100800373","IN-Dobby-7A-LimeGreen-M","31266845","100800373","Sangria","2025-06-06",,,"2025-06-12","2025-06-19","2025-06-20",,"1",,"8509016204","5502039451","10508980978","ccf923df-5262-4ca3-ad79-338c7175833d","Return","8509016204",,"1","100054280178","OPEN_BOX_PICKUP","I did not like the fit","DLS",,"MYSR1136069142",,"2025-07-01 16:54:34.000",,,,
"18724","24275","SNGRKRTA99419805","Dobbyloom-Candy Pink-Kurta-S","30885363","99419805","Sangria","2025-06-06",,,,"1970-01-01",,"2025-06-08",,,"8509342730","5502233875","10509306793","009ca50b-52ab-4466-ae8b-54f992b327cc","RTO","8509342730",,"1",,,,,,,,,,,,
