"seller id","warehouse id","po_type","store order id","order release id","order line id","seller order id","order id fk","created on","style id","seller sku code","sku id","myntra sku code","size","vendor article number","brand","style name","article type","order status","packet id","seller packe id","courier code","order tracking number","seller warehouse id","cancellation reason id fk","cancellation reason","packed on","fmpu date","inscanned on","shipped on","delivered on","cancelled on","rto creation date","lost date","return creation date","final amount","total mrp","discount","coupon discount","shipping charge","gift charge","tax recovery","city","state","zipcode","seller price"
"36387","58640","PPMP","'130815679188091981903","8635088452","10635013066","67dc52dd-76c1-4be7-aa7f-e697b6158b47","5574822292","2025-08-27 12:37:00.000","36084489","RUS_SK_Shatranj_Eygpt_Grey_M","115296601","ANRCKRTA115296601","M","RUS_SK_Shatranj_Eygpt_Grey","Anouk Rustic","Anouk Rustic Men Pure Cotton Mandarin Collar Thread Work Kurta","Kurtas","C","8635088452",,"EK_E2E","MYEC1062279374","58640",,,"2025-08-28 12:37:11.000","2025-08-28 17:28:52.000","2025-08-29 14:37:03.000","2025-08-29 14:43:01.000","2025-09-04 15:52:46.000",,,,,"319.00","1999.00","1680.00","0.00","0.00","0.00","0.00","Vishakhapatnam","AP","530048","260"
"36387","58640","PPMP","'130811676617941271003","8634776794","10634701404","c578a332-dd59-4562-84fc-4568a66569bc","5574623681","2025-08-27 01:29:55.000","36084504","RUS_ICH_DOBBY_BEIGE_L","115296677","ANRCKRTA115296677","L","RUS_ICH_DOBBY_BEIGE","Anouk Rustic","Anouk Rustic Men Pure Cotton Woven Design Mandarin Collar Regular Kurta","Kurtas","C","8634776794",,"EK_E2E","MYEP1079684655","58640",,,"2025-08-28 12:28:32.000","2025-08-28 17:30:32.000","2025-08-29 08:53:39.000","2025-08-29 08:59:06.000","2025-08-31 11:19:10.000",,,,,"351.00","2199.00","1848.00","36.00","0.00","0.00","0.00","Betul","MP","460001","292"
"36387","58640","PPMP","'130834477848049676501","8637787286","10637711814","c4587e77-842f-4d4a-82f0-f04df4679a84","5576518790","2025-08-29 16:50:07.000","36084495","RUS_SK_Shatranj_Eygpt_Black_L","115296632","ANRCKRTA115296632","L","RUS_SK_Shatranj_Eygpt_Black","Anouk Rustic","Anouk Rustic Men Ethnic Motifs Printed Daily Pure Cotton Straight Kurta","Kurtas","C","8637787286",,"EK_E2E","MYEC1062488241","58640",,,"2025-08-30 11:32:19.000","2025-08-30 15:33:42.000","2025-08-31 01:12:14.000","2025-08-31 01:17:46.000","2025-09-02 18:44:23.000",,,,,"319.00","1999.00","1680.00","32.00","0.00","0.00","0.00","Bangalore","KA","560076","260"
"36387","58640","PPMP","'130823219591867402001","8636066016","10635990628","5566de0f-bbe8-47a8-af27-be7980958325","5575436700","2025-08-28 09:33:44.000","36084497","RUS_SOL_KURTA_YELLOW_XL","115296643","ANRCKRTA115296643","XL","RUS_SOL_KURTA_YELLOW","Anouk Rustic","Anouk Rustic Band Collar Straight Kurta","Kurtas","C","9760136003",,"EK_E2E","MYEC1062280148","58640",,,"2025-08-28 12:41:35.000","2025-08-28 17:29:38.000","2025-08-29 06:05:38.000","2025-08-29 06:11:21.000","2025-09-01 16:36:08.000",,,,,"399.00","1999.00","1600.00","0.00","0.00","0.00","0.00","Amroha","UP","244501","340"
"36387","58640","PPMP","'130714809381154359401","8618549578","10618474871","45e4fbb5-4e0b-47c6-836e-5aca605ea7c3","5564785571","2025-08-15 20:25:22.000","36084938","RUS_KURTA_PURPLE_M","115297522","ANRCKRTA115297522","M","RUS_KURTA_PURPLE","Anouk Rustic","Anouk Rustic Geometric Printed Band Collar Straight Kurta","Kurtas","C","8618549578",,"DE_4PL","5965260626640","58640",,,"2025-08-16 12:12:39.000","2025-08-21 17:50:34.000","2025-08-22 03:25:01.000","2025-08-22 04:07:35.000","2025-08-25 15:10:41.000",,,,"2025-08-29 11:40:00","399.00","2499.00","2100.00","0.00","0.00","0.00","0.00","Tiruchendur","TN","628203","340"
"36387","58640","PPMP","'130705346364270318201","8616881698","10616807045","4b39e0f2-4fc7-4469-bb6b-878d88735fc7","5563797251","2025-08-14 18:08:12.000","36084496","RUS_MAGIC_IKKAT_NAVY_S","115296635","ANRCKRTA115296635","S","RUS_MAGIC_IKKAT_NAVY","Anouk Rustic","Anouk Rustic Men Ethnic Motifs Printed Daily Straight Kurta","Kurtas","F","8616881698",,"EK_E2E","MYEC1060855334","58640","110","Vendor Failed to Handover (Ekart)","2025-08-15 11:17:22.000","2025-08-21 17:51:52.000",,,,"2025-08-21 19:10:01.000",,,,"399.00","2499.00","2100.00","0.00","0.00","0.00","0.00","Gautam Buddha Nagar","UP","201303","340"
"36387","58640","PPMP","'130759356841934191803","8625586736","10625511639","b7e37db1-a9fa-443c-9911-35ed4fc785d7","5569042877","2025-08-21 00:09:56.000","36084495","RUS_SK_Shatranj_Eygpt_Black_M","115296631","ANRCKRTA115296631","M","RUS_SK_Shatranj_Eygpt_Black","Anouk Rustic","Anouk Rustic Men Ethnic Motifs Printed Daily Pure Cotton Straight Kurta","Kurtas","C","8625586736",,"EK_E2E","MYEC1061458558","58640",,,"2025-08-21 10:08:28.000","2025-08-21 17:57:24.000","2025-08-22 03:51:56.000","2025-08-22 03:58:04.000","2025-08-26 11:34:26.000",,,,,"319.00","1999.00","1680.00","0.00","0.00","0.00","0.00","Jaipur","RJ","302026","260"
"36387","58640","PPMP","'130831810570314456201","8637264459","10637189008","db187a0b-81b9-4cb9-afc2-88a2e14a2418","5576192897","2025-08-29 09:25:34.000","36084493","RUS_SK_Shatranj_Quirky_White_S","115296620","ANRCKRTA115296620","S","RUS_SK_Shatranj_Quirky_White","Anouk Rustic","Anouk Rustic Ethnic Motifs Printed Mandarin Collar Long Sleeves Pure Cotton Short Kurta","Kurtas","C","8637264459",,"EK_E2E","MYEP1079790975","58640",,,"2025-08-29 11:36:35.000","2025-08-29 16:38:51.000","2025-08-30 01:35:58.000","2025-08-30 01:42:47.000","2025-08-31 12:23:50.000",,,,,"319.00","1999.00","1680.00","0.00","0.00","0.00","0.00","Sanaswadi","MH","412207","260"
"36387","58640","PPMP","'130833840729126072403","8637656808","10637581336","2d25485f-257e-41b2-ae2b-11a4c04f763a","5576437300","2025-08-29 15:03:55.000","36084487","RUS_SOL_KURTA_ORANGE_XXL","115296594","ANRCKRTA115296594","XXL","RUS_SOL_KURTA_ORANGE","Anouk Rustic","Anouk Rustic Band Collar Straight Kurta","Kurtas","C","8637656808",,"EK_E2E","MYEP1079900980","58640",,,"2025-08-30 11:31:08.000","2025-08-30 15:33:35.000","2025-08-31 05:38:42.000","2025-08-31 05:43:47.000","2025-09-02 12:06:09.000",,,,,"399.00","1999.00","1600.00","0.00","0.00","0.00","0.00","Hyderabad","TG","500019","340"
"36387","58640","PPMP","'130759881186136635001","8625675639","10625600542","ff7266ec-4dc7-4322-b388-275355f3e982","5569092420","2025-08-21 01:37:20.000","36084506","RUS_ICH_CHECKS_GREY_M","115296686","ANRCKRTA115296686","M","RUS_ICH_CHECKS_GREY","Anouk Rustic","Anouk Rustic Checked Sequinned Band Collar Straight Kurta","Kurtas","C","9757519220",,"EK_E2E","MYEC1061496955","58640",,,"2025-08-21 12:02:41.000","2025-08-21 17:59:48.000","2025-08-22 01:25:26.000","2025-08-22 01:31:31.000","2025-08-23 14:55:11.000",,,,,"399.00","2499.00","2100.00","80.00","0.00","0.00","0.00","Mumbai","MH","401107","340"
