"seller_id","warehouse_id","model","myntra_sku_code","seller_sku_code","style_id","sku_id","brand","order_created_date","inscanned_on","fmpu_date","order_delivered_date","return_created_date","refunded_date","order_rto_date","is_refunded","exchange_id","order_id","order_group_id","order_line_id","seller_order_id","type","status","store_packet_id","seller_packet_id_fk","quantity","return_id","return_mode","return_reason","return_status","forward_tracking_number","return_tracking_number","master_bag_id","lmdo_status","lmdo_last_modified_on","gatepass_id","gatepass_status","gatepass_type","gatepass_lastmodified"
"36387","58640","PPMP","ANRCKRTA115296644","RUS_SOL_KURTA_YELLOW_XXL","36084497","115296644","Anouk Rustic","2025-10-21","2025-10-28",,"2025-10-30","2025-11-01","2025-11-01",,"1",,"8765922364","5650562437","10766059402","c997259a-2f6f-4b17-8bd6-4dd635badc29","Return","Ret Delivered","9795686717",,"1","100095844197","OPEN_BOX_PICKUP","Delivery was delayed","DLS","MYEP1089311924","MYER1047670716",,,"2025-11-06 19:50:57.000",,,,
"36387","58640","PPMP","ANRCKRTA115296579","RUS_KURTA_STR_PINK_XXL","36084484","115296579","Anouk Rustic","2025-10-27","2025-10-28",,,"1970-01-01",,"2025-11-11",,,"8772658579","5654782876","10772827326","6ad06bf8-99ba-4bc2-9379-0dd6f06dca10","RTO","Delivered","8772658579",,"1",,,,,"5965388454653",,,,"2025-11-17 13:56:30.000",,,,
"36387","58640","PPMP","ANRCKRTA115296562","RUS_KURTA_GREY_L","36084481","115296562","Anouk Rustic","2025-11-12","2025-11-13",,,"1970-01-01",,"2025-11-14",,,"8799089041","5670948061","10799299941","da6ef411-afa7-44e5-850a-fb2a821ee888","RTO","Delivered","8799089041",,"1",,,,,"MYEC1074383969",,,,"2025-11-24 17:57:05.000",,,,
"36387","58640","PPMP","ANRCKRTA115296633","RUS_SK_Shatranj_Eygpt_Black_XL","36084495","115296633","Anouk Rustic","2025-10-16","2025-10-19",,,"1970-01-01",,"2025-11-28",,,"8759650715","5646560678","10759733998","06958065-6d09-4cf6-9813-337341fa33be","RTO","Delivered","8759650715",,"1",,,,,"5965377529215",,,,"2025-12-22 18:10:43.000",,,,
"36387","58640","PPMP","ANRCKRTA115296603","RUS_SK_Shatranj_Eygpt_Grey_XL","36084489","115296603","Anouk Rustic","2025-11-11","2025-11-15",,"2025-11-16","2025-11-17","2025-11-17",,"1","8806374155","8797759794","5670109362","10797968732","68dd4d6b-0f8c-409a-a9ce-d27b536b4723","Return","Ret Delivered","8797759794",,"1","100100704857","OPEN_BOX_PICKUP","Generic Return Reason","DLS","MYEP1091713252","MYER1048896362",,,"2025-11-28 17:45:06.000",,,,
"36387","58640","PPMP","ANRCKRTA115296688","RUS_ICH_CHECKS_GREY_XL","36084506","115296688","Anouk Rustic","2025-11-16","2025-11-19",,"2025-11-20","2025-11-22","2025-11-23",,"1",,"8806498259","5675515221","10806728658","f683f178-3eb7-47ee-91ff-438d79a79de1","Return","Ret Delivered","8806498259",,"1","100102504657","OPEN_BOX_PICKUP","I did not like the fit","DLS","MYEC1075086074","MYER1049345262",,,"2025-12-01 17:46:24.000",,,,
"36387","58640","PPMP","ANRCKRTA115296641","RUS_SOL_KURTA_YELLOW_M","36084497","115296641","Anouk Rustic","2025-11-11",,,,"1970-01-01",,"2025-11-17",,,"8796595047","5669371804","10796800492","8beb2c9d-a007-4d25-90bb-6a51f7914001","RTO","RTO Created","9803392506",,"1",,,,,"219143222779781",,,,,,,,
"36387","58640","PPMP","ANRCKRTA115296641","RUS_SOL_KURTA_YELLOW_M","36084497","115296641","Anouk Rustic","2025-11-17","2025-11-19",,"2025-11-23","2025-11-24","2025-11-24",,"1","8817700473","8808521980","5676763946","10808757703","07380c18-6d8e-4f8a-b197-6645aa34f0d1","Return","Ret Delivered","8808521980",,"1","100102898317","OPEN_BOX_PICKUP","Generic Return Reason","DLS","MYEC1075174902","MYER1049445798",,,"2025-12-08 18:06:16.000",,,,
"36387","58640","PPMP","ANRCKRTA115296560","RUS_KURTA_GREY_S","36084481","115296560","Anouk Rustic","2025-10-27","2025-10-29",,,"1970-01-01",,"2025-11-01",,,"8773127477","5655079230","10773297803","dd60554e-cdda-4604-b2f1-e0dc34594ced","RTO","Delivered","8773127477",,"1",,,,,"MYEC1072138655",,,,"2025-11-15 16:22:11.000",,,,
"36387","58640","PPMP","ANRCKRTA115296576","RUS_KURTA_STR_PINK_M","36084484","115296576","Anouk Rustic","2025-11-21",,,,"1970-01-01",,"2025-11-22",,,"8814203988","5680434730","10814455060","c10b9d28-22d4-411f-b557-7d6c6e70d6de","RTO","Delivered","8814203988",,"1",,,,,"MYEP1093154007",,,,"2025-11-27 16:25:03.000",,,,
"36387","58640","PPMP","ANRCKRTA115296665","RUS_ICH_DIAMOND_NAVY BLUE_S","36084502","115296665","Anouk Rustic","2025-11-13","2025-11-19",,,"1970-01-01",,"2025-11-24",,,"8801191485","5672300311","10801408310","d0d05a8c-a852-466e-8de6-993e201fcc86","RTO","Delivered","8801191485",,"1",,,,,"MYEC1074618076",,,,"2025-12-03 16:00:26.000",,,,
